category,convert_from,convert_to,multiply_by,constant,abbreviation,
Electric Charge,abampere,ampere (A),10.0,0,A,
Electric Charge,abcoulomb,coulomb (C),10.0,0,C,
Capacitance,abfarad,farad (F),1000000000.0,0,F,
Inductance,abhenry,henry (H),1000000000.0,0,H,
Conductance,abmho,siemens (S),1000000000.0,0,S,
Pressure,bar,pascal (Pa),100000.0,0,Pa,
Area,barn,meter^2 (m^2),0.0000000000000000000000000001,0,m^2,
Volume,barrel (for petroleum 42 gal),meter^3 (m^3),0.1589873,0,m^3,
Volume,board foot,meter^3 (m^3),0.002359737,0,m^3,
Energy/Area,Btu (thermochemical)/ft^2,joule per meter^2 (J/m^2),11348.93,0,J/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 h,watt per meter^2 (W/m^2),3.152481,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 min,watt per meter^2 (W/m^2),189.1489,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 s,watt per meter^2 (W/m^2),11348.93,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/in.^2 s,watt per meter^2 (W/m^2),1634246.0,0,W/m^2,
Energy/Area/Time,Btu (International Table)/h ft^2,watt per meter^2-kelvin (W/m^2 K),5.678263,0,W/m^2 K,
Energy/Area/Time,Btu (thermochemical)/h ft^2,watt per meter^2-kelvin (W/m^2 K),5.674466,0,W/m^2 K,
Energy/Area/Time,Btu (International Table)/s ft^2,watt per meter^2-kelvin (W/m^2 K),20441.75,0,W/m^2 K,
Energy/Area/Time,Btu (thermochemical)/ s ft^2,watt per meter^2-kelvin (W/m^2 K),20428.08,0,W/m^2 K,
Energy/Mass,Btu (International Table)/lb,joule per kilogram (J/kg),2326.0,0,J/kg,
Energy/Mass,Btu (thermochemical)/lb,joule per kilogram (J/kg),2324.444,0,J/kg,
Energy/Mass/Temperature,Btu (International Table)/lb 8F,joule per kilogram-kelvin (J/kg K),4186.8,0,J/kg K,
Energy/Mass/Temperature,Btu (thermochemical)/lb 8F,joule per kilogram-kelvin (J/kg K),4184.0,0,J/kg K,
Volume,bushel (U.S.),meter^3 (m^3),0.03523907,0,m^3,
Energy,calorie (kilogram thermochemical),joule (J),4184.0,0,J,
,caliber (inch),meter (m),0.0254,0,m,
Energy,calorie (International Table),joule (J),4.1868,0,J,
Energy,calorie (mean),joule (J),4.19002,0,J,
Energy,calorie (thermochemical),joule (J),4.184,0,J,
Energy,calorie (15∞C),joule (J),4.1858,0,J,
Energy,calorie (20∞C),joule (J),4.1819,0,J,
Energy,calorie (kilogram International Table),joule (J),4186.8,0,J,
Energy,calorie (kilogram mean),joule (J),4190.02,0,J,
Energy/Area,cal (thermochemical),joule (J),4184.0,0,J,
Energy/Area,cal (thermochemical)/cm^2,watt per meter^2 (W/m^2),697.0,0,W/m^2,
Energy/Mass,cal (International Table)/g,joule per kilogram (J/kg),4186.8,0,J/kg,
Energy/Mass,cal (thermochemical)/g,joule per kilogram (J/kg),4184.0,0,J/kg,
Energy/Mass/Temperature,cal (International Table)/g 8C,joule per kilogram-kelvin (J/kg K),4186.8,0,J/kg K,
